category,reason,user_externalId,user_timestamp,user_type,user_asset,user_quantity,user_original_row_json,exchange_externalId,exchange_timestamp,exchange_type,exchange_asset,exchange_quantity,exchange_original_row_json
Matched,,USR-011,2024-03-06T10:15:00.000Z,SELL,SOL,5,"{""transaction_id"":""USR-011"",""timestamp"":""2024-03-06T10:15:00Z"",""type"":""SELL"",""asset"":""SOL"",""quantity"":""5.0"",""price_usd"":""145.00"",""fee"":""0.005"",""note"":""""}",EXC-1011,2024-03-06T10:15:00.000Z,SELL,SOL,5,"{""transaction_id"":""EXC-1011"",""timestamp"":""2024-03-06T10:15:00Z"",""type"":""SELL"",""asset"":""SOL"",""quantity"":""5.0"",""price_usd"":""145.00"",""fee"":""0.005"",""note"":""""}"
Matched,,USR-012,2024-03-06T13:30:00.000Z,BUY,BTC,0.3,"{""transaction_id"":""USR-012"",""timestamp"":""2024-03-06T13:30:00Z"",""type"":""BUY"",""asset"":""BTC"",""quantity"":""0.3"",""price_usd"":""62500.00"",""fee"":""0.0003"",""note"":""""}",EXC-1012,2024-03-06T13:30:00.000Z,BUY,BTC,0.3001,"{""transaction_id"":""EXC-1012"",""timestamp"":""2024-03-06T13:30:00Z"",""type"":""BUY"",""asset"":""BTC"",""quantity"":""0.3001"",""price_usd"":""62500.00"",""fee"":""0.0003"",""note"":""""}"
Matched,,USR-013,2024-03-07T09:45:00.000Z,BUY,MATIC,200,"{""transaction_id"":""USR-013"",""timestamp"":""2024-03-07T09:45:00Z"",""type"":""BUY"",""asset"":""MATIC"",""quantity"":""200.0"",""price_usd"":""0.95"",""fee"":""0.2"",""note"":""""}",EXC-1013,2024-03-07T09:45:00.000Z,BUY,MATIC,200,"{""transaction_id"":""EXC-1013"",""timestamp"":""2024-03-07T09:45:00Z"",""type"":""BUY"",""asset"":""MATIC"",""quantity"":""200.0"",""price_usd"":""0.95"",""fee"":""0.2"",""note"":""""}"
Matched,,USR-014,2024-03-07T14:00:00.000Z,SELL,USDT,200,"{""transaction_id"":""USR-014"",""timestamp"":""2024-03-07T14:00:00Z"",""type"":""SELL"",""asset"":""USDT"",""quantity"":""200.00"",""price_usd"":""1.00"",""fee"":""0.2"",""note"":""""}",EXC-1014,2024-03-07T14:00:00.000Z,SELL,USDT,200,"{""transaction_id"":""EXC-1014"",""timestamp"":""2024-03-07T14:00:00Z"",""type"":""SELL"",""asset"":""USDT"",""quantity"":""200.00"",""price_usd"":""1.00"",""fee"":""0.2"",""note"":""""}"
Matched,,USR-015,2024-03-08T11:00:00.000Z,BUY,ETH,0.8,"{""transaction_id"":""USR-015"",""timestamp"":""2024-03-08T11:00:00Z"",""type"":""BUY"",""asset"":""ETH"",""quantity"":""0.8"",""price_usd"":""3480.00"",""fee"":""0.0008"",""note"":""""}",EXC-1015,2024-03-08T11:00:00.000Z,BUY,ETH,0.8,"{""transaction_id"":""EXC-1015"",""timestamp"":""2024-03-08T11:00:00Z"",""type"":""BUY"",""asset"":""ETH"",""quantity"":""0.8"",""price_usd"":""3480.00"",""fee"":""0.0008"",""note"":""""}"
Unmatched (User only),No candidate found within tolerance window,USR-001,2024-03-01T09:00:00.000Z,BUY,BTC,0.5,"{""transaction_id"":""USR-001"",""timestamp"":""2024-03-01T09:00:00Z"",""type"":""BUY"",""asset"":""BTC"",""quantity"":""0.5"",""price_usd"":""62000.00"",""fee"":""0.0005"",""note"":""Monthly DCA""}",,,,,,""
Matched,,USR-016,2024-03-08T16:45:00.000Z,TRANSFER_OUT,SOL,3,"{""transaction_id"":""USR-016"",""timestamp"":""2024-03-08T16:45:00Z"",""type"":""TRANSFER_OUT"",""asset"":""SOL"",""quantity"":""3.0"",""price_usd"":"""",""fee"":""0.003"",""note"":""""}",EXC-1016,2024-03-08T16:45:00.000Z,TRANSFER_IN,SOL,3,"{""transaction_id"":""EXC-1016"",""timestamp"":""2024-03-08T16:45:00Z"",""type"":""TRANSFER_IN"",""asset"":""SOL"",""quantity"":""3.0"",""price_usd"":"""",""fee"":""0.003"",""note"":""""}"
Matched,,USR-017,2024-03-09T10:30:00.000Z,BUY,BTC,0.2,"{""transaction_id"":""USR-017"",""timestamp"":""2024-03-09T10:30:00Z"",""type"":""BUY"",""asset"":""BTC"",""quantity"":""0.2"",""price_usd"":""61500.00"",""fee"":""0.0002"",""note"":""""}",EXC-1017,2024-03-09T10:30:00.000Z,BUY,BTC,0.2,"{""transaction_id"":""EXC-1017"",""timestamp"":""2024-03-09T10:30:00Z"",""type"":""BUY"",""asset"":""BTC"",""quantity"":""0.2"",""price_usd"":""61500.00"",""fee"":""0.0002"",""note"":""""}"
Unmatched (User only),Invalid timestamp,USR-018,,SELL,ETH,0.3,"{""transaction_id"":""USR-018"",""timestamp"":""2024-03-09T"",""type"":""SELL"",""asset"":""ETH"",""quantity"":""0.3"",""price_usd"":""3510.00"",""fee"":""0.0003"",""note"":""Malformed timestamp""}",,,,,,""
Unmatched (User only),Negative quantity,USR-019,2024-03-10T08:00:00.000Z,BUY,BTC,-0.1,"{""transaction_id"":""USR-019"",""timestamp"":""2024-03-10T08:00:00Z"",""type"":""BUY"",""asset"":""BTC"",""quantity"":""-0.1"",""price_usd"":""62000.00"",""fee"":""0.0001"",""note"":""Negative quantity - data error""}",,,,,,""
Matched,,USR-020,2024-03-10T13:00:00.000Z,SELL,BTC,0.15,"{""transaction_id"":""USR-020"",""timestamp"":""2024-03-10T13:00:00Z"",""type"":""SELL"",""asset"":""BTC"",""quantity"":""0.15"",""price_usd"":""63000.00"",""fee"":""0.00015"",""note"":""""}",EXC-1019,2024-03-10T13:00:00.000Z,SELL,BTC,0.15,"{""transaction_id"":""EXC-1019"",""timestamp"":""2024-03-10T13:00:00Z"",""type"":""SELL"",""asset"":""BTC"",""quantity"":""0.15"",""price_usd"":""63000.00"",""fee"":""0.00015"",""note"":""""}"
Matched,,USR-021,2024-03-11T09:00:00.000Z,BUY,ETH,1,"{""transaction_id"":""USR-021"",""timestamp"":""2024-03-11T09:00:00Z"",""type"":""BUY"",""asset"":""ETH"",""quantity"":""1.0"",""price_usd"":""3520.00"",""fee"":""0.001"",""note"":""""}",EXC-1020,2024-03-11T09:00:00.000Z,BUY,ETH,1,"{""transaction_id"":""EXC-1020"",""timestamp"":""2024-03-11T09:00:00Z"",""type"":""BUY"",""asset"":""ETH"",""quantity"":""1.0"",""price_usd"":""3520.00"",""fee"":""0.001"",""note"":""""}"
Matched,,USR-022,2024-03-11T15:20:00.000Z,BUY,LINK,50,"{""transaction_id"":""USR-022"",""timestamp"":""2024-03-11T15:20:00Z"",""type"":""BUY"",""asset"":""LINK"",""quantity"":""50.0"",""price_usd"":""18.00"",""fee"":""0.05"",""note"":""""}",EXC-1021,2024-03-11T15:20:00.000Z,BUY,LINK,50,"{""transaction_id"":""EXC-1021"",""timestamp"":""2024-03-11T15:20:00Z"",""type"":""BUY"",""asset"":""LINK"",""quantity"":""50.0"",""price_usd"":""18.00"",""fee"":""0.05"",""note"":""""}"
Matched,,USR-023,2024-03-12T10:00:00.000Z,SELL,MATIC,100,"{""transaction_id"":""USR-023"",""timestamp"":""2024-03-12T10:00:00Z"",""type"":""SELL"",""asset"":""MATIC"",""quantity"":""100.0"",""price_usd"":""0.97"",""fee"":""0.1"",""note"":""""}",EXC-1022,2024-03-12T10:00:00.000Z,SELL,MATIC,100,"{""transaction_id"":""EXC-1022"",""timestamp"":""2024-03-12T10:00:00Z"",""type"":""SELL"",""asset"":""MATIC"",""quantity"":""100.0"",""price_usd"":""0.97"",""fee"":""0.1"",""note"":""""}"
Unmatched (User only),Invalid timestamp; Missing type,USR-024,,,BTC,0.4,"{""transaction_id"":""USR-024"",""timestamp"":""2024-03-12T"",""type"":"""",""asset"":""BTC"",""quantity"":""0.4"",""price_usd"":""62800.00"",""fee"":""0.0004"",""note"":""Missing timestamp entirely""}",,,,,,""
Matched,,USR-025,2024-03-13T09:15:00.000Z,BUY,BTC,0.35,"{""transaction_id"":""USR-025"",""timestamp"":""2024-03-13T09:15:00Z"",""type"":""BUY"",""asset"":""BTC"",""quantity"":""0.35"",""price_usd"":""62200.00"",""fee"":""0.00035"",""note"":""""}",EXC-1023,2024-03-13T09:15:00.000Z,BUY,BTC,0.35,"{""transaction_id"":""EXC-1023"",""timestamp"":""2024-03-13T09:15:00Z"",""type"":""BUY"",""asset"":""BTC"",""quantity"":""0.35"",""price_usd"":""62200.00"",""fee"":""0.00035"",""note"":""""}"
Unmatched (Exchange only),No counterpart found in user dataset,,,,,,"",EXC-1018,2024-03-09T17:00:00.000Z,SELL,ETH,0.3,"{""transaction_id"":""EXC-1018"",""timestamp"":""2024-03-09T17:00:00Z"",""type"":""SELL"",""asset"":""ETH"",""quantity"":""0.3"",""price_usd"":""3510.00"",""fee"":""0.0003"",""note"":""""}"
Unmatched (Exchange only),No counterpart found in user dataset,,,,,,"",EXC-1024,2024-03-13T18:00:00.000Z,BUY,ETH,0.6,"{""transaction_id"":""EXC-1024"",""timestamp"":""2024-03-13T18:00:00Z"",""type"":""BUY"",""asset"":""ETH"",""quantity"":""0.6"",""price_usd"":""3490.00"",""fee"":""0.0006"",""note"":""Not present in user file""}"
Unmatched (Exchange only),No counterpart found in user dataset,,,,,,"",EXC-1025,2024-03-14T10:00:00.000Z,SELL,BTC,0.2,"{""transaction_id"":""EXC-1025"",""timestamp"":""2024-03-14T10:00:00Z"",""type"":""SELL"",""asset"":""BTC"",""quantity"":""0.2"",""price_usd"":""63500.00"",""fee"":""0.0002"",""note"":""Not present in user file""}"
